code,name,city,prov,nation,lat,lon,risk
1171A,星湖花园,南通市,江苏省,中国,31.93,120.94,1
1172A,紫琅学院,南通市,江苏省,中国,32.0417,120.81,1
1173A,市环境监测站,连云港市,江苏省,中国,34.5885,119.176,1
1174A,洪门派出所,连云港市,江苏省,中国,34.5896,119.141,1
1175A,墟沟核电专家村,连云港市,江苏省,中国,34.7507,119.368,1
1176A,开发区恒瑞医药公司,连云港市,江苏省,中国,34.6984,119.348,1
1177A,黄河新村,徐州市,江苏省,中国,34.2761,117.179,2
1178A,淮塔,徐州市,江苏省,中国,34.2384,117.1918,1
1179A,铜山兽医院,徐州市,江苏省,中国,34.3083,117.192,1
1180A,新城区,徐州市,江苏省,中国,34.2153,117.256,1
1181A,桃园路,徐州市,江苏省,中国,34.2911,117.244,1
1182A,农科院,徐州市,江苏省,中国,34.2778,117.2933,1
1183A,铜山区环保局,徐州市,江苏省,中国,34.1806,117.166,1
1184A,城东财政所(停运180626),扬州市,江苏省,中国,32.3878,119.46,1
1185A,市监测站,扬州市,江苏省,中国,32.41,119.404,1
1186A,邗江监测站,扬州市,江苏省,中国,32.3761,119.389,1
1187A,第四医院(停运161107),扬州市,江苏省,中国,32.4033,119.439,1
1188A,雪浪,无锡市,江苏省,中国,31.4867,120.269,0
1189A,黄巷,无锡市,江苏省,中国,31.6219,120.275,0
1190A,曹张,无锡市,江苏省,中国,31.56,120.294,1
1191A,漆塘,无锡市,江苏省,中国,31.5031,120.242,1
1192A,东亭,无锡市,江苏省,中国,31.5863,120.3489,1
1193A,旺庄,无锡市,江苏省,中国,31.5475,120.354,1
1194A,荣巷,无锡市,江苏省,中国,31.5631,120.245,0
1195A,堰桥,无锡市,江苏省,中国,31.6817,120.299,2
1196A,市监测站,常州市,江苏省,中国,31.762,119.9633,4
1197A,城建学校(停运161026),常州市,江苏省,中国,31.7786,119.933,1
1198A,常工院(停运161026),常州市,江苏省,中国,31.8089,119.962,1
1199A,潞城(停运161026),常州市,江苏省,中国,31.7638,120.0393,1
1200A,武进监测站,常州市,江苏省,中国,31.7069,119.9468,2
1201A,安家,常州市,江苏省,中国,31.9087,119.9255,2
1202A,环境监测站,镇江市,江苏省,中国,32.1693,119.4923,12
1203A,新区办事处,镇江市,江苏省,中国,32.1875,119.6707,1
1204A,职教中心,镇江市,江苏省,中国,32.1968,119.4974,2
1205A,丹徒区监测站,镇江市,江苏省,中国,32.1328,119.4303,1
1206A,公园路,泰州市,江苏省,中国,32.4878,119.905,1
1207A,莲花,泰州市,江苏省,中国,32.4625,119.9189,1
1208A,高港区政府,泰州市,江苏省,中国,32.303,119.882,1
1209A,留学生创业园,泰州市,江苏省,中国,32.4639,119.888,1
1210A,钵池山,淮安市,江苏省,中国,33.5981,119.036,1
1211A,北京南路,淮安市,江苏省,中国,33.575,119.007,1
1212A,市监测站,淮安市,江苏省,中国,33.6067,118.989,1
1213A,楚州区监测站,淮安市,江苏省,中国,33.5039,119.135,1
1214A,淮阴区监测站,淮安市,江苏省,中国,33.6297,119.0186,1
1215A,盐城电厂,盐城市,江苏省,中国,33.4022,120.118,1
1216A,市监测站,盐城市,江苏省,中国,33.3942,120.156,1
1217A,文峰中学,盐城市,江苏省,中国,33.3719,120.129,1
1218A,开发区管委会,盐城市,江苏省,中国,33.38,120.2144,2
1219A,市监测站(停运161107),宿迁市,江苏省,中国,33.96,118.2658,1
1220A,宿迁学院,宿迁市,江苏省,中国,33.9528,118.293,1
1221A,宿迁中学,宿迁市,江苏省,中国,33.9592,118.2442,1
1222A,宿豫区环保局,宿迁市,江苏省,中国,33.9506,118.3214,1
1223A,滨江,杭州市,浙江省,中国,30.2111,120.2072,1
1224A,西溪,杭州市,浙江省,中国,30.2747,120.0633,1
1225A,千岛湖(对照点),杭州市,浙江省,中国,29.635,119.026,1
1226A,下沙,杭州市,浙江省,中国,30.3153,120.3461,1
1227A,卧龙桥,杭州市,浙江省,中国,30.2456,120.1269,1
1228A,浙江农大,杭州市,浙江省,中国,30.2692,120.1903,1
1229A,朝晖五区,杭州市,浙江省,中国,30.2897,120.157,1
1230A,和睦小学,杭州市,浙江省,中国,30.3119,120.1197,1
1231A,临平镇,杭州市,浙江省,中国,30.4183,120.3019,1
1232A,城厢镇,杭州市,浙江省,中国,30.1819,120.2697,1
1233A,云栖,杭州市,浙江省,中国,30.1808,120.0883,1
1234A,区环保大楼,宁波市,浙江省,中国,29.911,121.8358,1
1235A,万里学院,宁波市,浙江省,中国,29.82,121.56,1
1236A,龙赛医院,宁波市,浙江省,中国,29.9572,121.713,1
1237A,三江中学,宁波市,浙江省,中国,29.8906,121.554,1
1238A,市政管理站,宁波市,浙江省,中国,29.9017,121.615,1
1239A,钱湖水厂,宁波市,浙江省,中国,29.7733,121.633,1
1240A,太古小学,宁波市,浙江省,中国,29.8635,121.5856,1
1241A,市环境监测中心,宁波市,浙江省,中国,29.8674,121.524,2
1242A,瓯海,温州市,浙江省,中国,28.0089,120.634,1
1243A,南浦,温州市,浙江省,中国,27.9939,120.6748,1
1244A,龙湾,温州市,浙江省,中国,27.9747,120.76,1
1245A,市站,温州市,浙江省,中国,28.0167,120.6709,1
1246A,袍江站,绍兴市,浙江省,中国,30.0911,120.598,1
1247A,城东开发委,绍兴市,浙江省,中国,29.9928,120.6053,1
1248A,市环保站,绍兴市,浙江省,中国,30.007,120.576,1
1249A,城北水厂,湖州市,浙江省,中国,30.8867,120.1,1
1250A,城西水厂,湖州市,浙江省,中国,30.8669,120.0751,5
1251A,吉山新村,湖州市,浙江省,中国,30.8617,120.093,1
